Title,Ingredients
Tongseng Kambing Jogja (otentik warisan mertua),"Daging kambing, potong dadu--Air--butir Kelapa, parut--Secukupnya Minyak goreng--🍄 Bumbu halus :--siung Bawang putih--butir Kemiri--merica--ketumbar--Secuil Pala--🍄 Bumbu Halus 2:--ruas Jari Kunyit--ruas jari Jahe--ruas jari Kencur--ruas jari Sunti (cuma ada di jogja, aq skip)--🍄 Bumbu Iris :--siung Bawang merah, iris tipis--buah Cabai rawit merah, iris tipis (sesuai selera pedasnya)--🍄 Bumbu Kering :--batang Kayu manis--batang Kulit Kayu Krangean--buah Cabe jawa--butir Cengkeh--butir Kapulaga--jinten--🍄 Bumbu lain :--lembar Daun salam--lembar Daun jeruk--ruas Lengkuas, geprek--batang Serai, geprek--Kecap manis--Gula merah sisir--Secukupnya Garam & penyedap--🍄 Pelengkap sajian:--Secukupnya Kubis, cincang kasar--Secukupnya Mentimun, iris--Secukupnya Bawang merah, iris--Secukupnya Cabai rawit, iris--"
Sop tulang kambing,tulang kambing--lembar daun bawang--lembar daun seledri--siung bawang putih--siung bawang merah--gula pasir--garam--butir merica--
Tumis kambing kecap,"Daging kambing (Sy masak buat x makan aja)--iris Bawang putih--iris Bawang merah--iris Daun bawang--iris Cabe rawit--Daun jeruk--Asam--Micin, royko, garam, gula, ketumbar bubuk--Kecap--"
Kari Kambing,"daging kambing berlemak/iga kambing, potong sesuai selera--siung bawang merah, iris tipis--siung bawang putih, iris tipis--ruas jari lengkuas, geprek--rumpun daun kari--asam jawa utuh--bubuk kari--cabe giling--buah pekak/bunga lawang--buah cengkeh--buah kayu manis--kunyit bubuk--gula merah sisir--Garam, penyedap (jika suka)--santan--air--"
Soto Kambing Kuah Bening Mang Yudi (#pr_homemadestreetfood),Daging Kambing--Buah Bawang Bombay--Siung Bawang Putih--Jahe--Lada Bubuk--Kunyit Bubuk--Bumbu Lain :--Lengkuas bagian (memarkan)--Lembar Daun Jeruk--Batang Serai (bagian putihnya saja) memarkan--Secukupnya Garam--Bahan Pelengkap :--Secukupnya Irisan Tomat--Secukupnya Irisan Daun Bawang--Secukupnya Irisan Daun Seledri--Secukupnya Bawang Merah (belah menjadi 4)--Secukupnya Sambal uleg--Secukupnya kecap--Secukupnya Nasi/ Lontong--Secukupnya emping (me skip)--
Nasi biryani paha kambing,Paha kambing sisi--liter Beras basmati--bonggol Bawang bombay--butir Kapulaga--batang Sereh--Bumbu kuning--siung Jinten--
Tongseng Kambing (NO MSG),"0,daging dan tulang kambing--sendok makan kecap manis (saya pake merk tawon)--ruas jahe (sangrai, geprek)--batang serai (geprek)--secukupnya daun salam dan daun jeruk--sendok kecap manis--0,liter santan cair--cabai rawit (sesuai selera)--butir kemiri (sangrai)--siung bawang putih--siung bawang merah--ruas kunyit (bakar)--sendok merica--sendok ketumbar--sendok gula pasir--"
Tongseng Kambing,"gram daging kambing (saya udah direbus)--buah tahu, potong serong, goreng--liter air--santan--lembar kol, iris--buah tomat, potong-potong--buah sereh, geprek--lembar daun jeruk, buang tulangnya--lembar daun salam--lengkuas, geprek--buah cabai rawit, iris--kecap manis--saus tiram--lada bubuk--gula--kaldu bubuk--garam--🐐 Bumbu halus 🐐--butir bawang merah--butir bawang putih--kunyit--butir kemiri--buah cabai rawit--buah cabai merah keriting--"
Kambing Goreng Empuk,"Segenggam Daging Kambing--Secukupnya Kecap Manis, Garam, Lada, Soda Kue--siung Bawang Merah--buah Bawang Bombay--buah Cabai Merah Besar--buah Cabai Rawit--🍳Bahan Halus--Kunyit/Kunir--Ketumbar--siung Bawang Putih--"
“Tongseng Kambing”,daging kambing potong sesuai selera--santan dari bks kecil kara--lembar daun kol iris kasar--batang daun bawang iris kasar--buah tomat uk besar potong kasar--buah cabe rawit hijau iris kasar--lembar daun salam--batang serai geprak simpulkan--ruas lengkuas geprak--lembar daun jeruk--buah bawang putih--buah bawang merah--buah kemiri sangrai--ketumbar sangrai--merica sangrai--kunyit bakar--jahe bakar-->>--garam--gula pasir--kecap manis--Minyak goreng secukup mya utk menumis--
Presto kambing bumbu kecap,daging kambing--butir kentang--Bumbu yang dihaluskan:--siung bawang merah--siung bawang putih--lada--ketumbar--butir kemiri--butir pala--kunyit bubuk--cabe bubuk--ruas jahe--Bumbu pelengkap:--secukupnya Garam--kecap asin--kecap manis--bks saus tiram--bks kaldu rasa sapi--ruas jahe digeprek--lbr daun salam--lembar daun jeruk--ruas lengkuas--butir kapulaga--buah kembang lawang--
Gorengan kambing,Secukupnya perutan kambing--Secukupnya lada--Secukupnya asam jawa--Sedikit kecap manis--Sesikit mentega--Airbuntuk merebus--
Soup tulang kambing 🍲,"tulang kambing rebus kurleb menit, beri perasan jeruk nipis--siung bawang putih--siung bawang merah--jahe geprek--buah daun bawang--Seledri dan bawang goreng secukup nya--Wortel,lobak, kentang uk besar (masing” buah)--biji bunga lawang--buah kapulaga--"
Tongseng Kambing Praktis,daging kambing--Bumbu gulai instan merk indofood--5-bawang merah iris--4-bawang putih iris--Secukupnya kecap manis--bungkus kecil Santan kara--Kol--Tomat--Daun bawang--Cabe rawit merah utuh--
Bledek kambing,paha depan kambing (kecil)--atau lebih bawang merah iris--bawang putih iris--cabe merah--cabe hijau--cabe rawit--(Cabe sesuai selera)--sereh--laos--daun salam--secukupnya Garam--santan kara 65ml--
Krecek Kambing,"g daging kambing plus tulang, potong tipis2, cuci--Secukupnya garam,gula merah/gula pasir, penyedap(optional)--asam jawa--buah serai, simpulkan--lembar daun salam--Minyak untuk menumis--750-air--Bahan diiris:--siung bawang putih--buah bawang merah--jahe--lengkuas--buah cabe merah besar--"
Lemak tulang kambing kuah santan,tulang kambing yang masih ada dagingnya dikit--lemak kambing--siung bawang merah--siung bawang putih--ruas kunyit--cabe merah--ketumbar--butir kemiri--ruas kecil lengkuas geprek--batang sereh ambil putihnya iris--tangkai daun bawang--bks santan kara--kecap manis--bks royco rasa sapi--Merica bubuk--Garam--Gula pasir--Minyak--
Tongseng Kambing 🐐,"daging kambing--Secukupnya kol (iris kasar)--Bumbu rebusan :--ruas jari lengkuas (geprek)--btg serei (ambil putihnya aja, geprek)--btr biji pala (geprek)--lbr daun salam--lbr daun jeruk--siung bawang merah--siung bawang putih--cabe keriting--ruas jari kunyit--btr kemiri--jinten--ketumbar bubuk--ruas jari jahe--Bumbu iris :--caber rawit (iris halus)--tomat (potong bagi 4)--btg daun bawang (iris kasar)--Bumbu pelengkap :--sachet kara (ml)--kecap manis (sy kecap tropicana slim)--Secukupnya garam, merica--"
Asem-asem Balungan (Tulang kambing) 🐐 🐐,tulang kambing/sapi--ltr air--lembar daun salam--lengkuas (geprek)--garam--batang serai (geprek)--Bumbu (iris tipis) 🔪 🔪 :--siung bawang putih--buah belimbing wulu--buah Lombok merah/hijau--buah Cabai hijau (sesuai selera)--
Tongseng kambing tanpa santan,"daging kambing, iris--L air--bongkah kobis, rajang kasar--batang daun bawang, rajang kasar--buah tomat, iris menjadi bagian per buah--batang sereh, geprek--laos, geprek--lembar daun jeruk, remas--lembar daun salam, remas--Secukupnya garam--Secukupnya gula pasir--kecap manis--siung bawang merah--siung bawang putih--ketumbar--merica--butir kemiri--jahe--kunyit--buah cabe merah keriting--cabe rawit--"
Curry kambing India,kl dgng kambing (potong2)--kl tulng rusuk kambing di potong(pilih kambing yg sama ya)--ons cabe merah kriting--ons bawang merah--ons /buah bawang bombay (potongkecil)--jempol jahe--jempol kunyit--buah bintang bunga lawang--ketumbar halus--jinten--buat tomat merah yg besar(potong kecil2)--helai serumpun daun Curry (kalaw ada saja)--batang daun bawang (potong kecil2)--saset masaco rasa apa saja + garam secukupnya--
Tengkleng kambing manis,Iga kambing--ruas sereh geprek--jari lengkuas geprek--lbr daun jeruk--Bumbu halus--siung bawang putih--siung bawang merah--buah cabe merah(resep asli gak pake)--buah bungapekak--jintan--lada bubuk--buah kapulaga--Secukupnya Gula garam kecap--
Sop iga kambing,"iga kambing--L air untuk merebus--siung bawang putih, iris--siung bawang merah, iris--butir pala, geprek--butir cengkeh--lada, haluskan--secukupnya Garam--buah tomat, potong2--buah wortel, kupas dan potong2--lembar kol, iris agak besar--secukupnya Penyedap--batang daun bawang--batang daun seledri--Bahan pelengkap :--secukupnya Bawang goreng--Acar mentimun/wortel--Sambal--"
Pete Kambing Kecap,Daging Kambing (Potong-Potong)--Siung Bawang Putih (Iris Tipis)--Siung Bawang Merah (Iris Tipis)--Lembar Daun Salam--Secukupnya garam--Secukupnya Penyedap--Secukupnya Air--Gram Pete (Cuci Bersih)--Secukupnya Kecap Manis--Secukupnya Minyak--
Tongseng kambing,"daging kambing--santan kental--Kecap. sesuai selera--Laos geprek--batang sereh geprek--Daun salam, daun jeruk--btr pala dibelah dua--buah  Tomat potong-potong--secukupnya Sayur kol--secukupnya cabe rawit--batang Daun bawang , potong-potong--buah cabe kriting,--siung bawang merah--siung bawang putih--Bumbu halus ;--kunyit--kemiri--jintan--ketumbar peres(sangrai baru dihaluskan--Jahe--Merica--"
Sop tulang iga kambing,"gram tulang iga kambing--buah wortel--buah kentang--secukupnya Daun bawang--siung bawang merah--siung bawang putih--biji bawang bombay--Jahe kiraseujung jari kelingking,pala dan merica--bungkus royco sapi--buah bunga sisir/bunga lawang/pekak--biji kapulaga, biji cengkeh--secukupnya Garam dan gula,minyak goreng----"
Sate kambing bumbu kacang,Daging kambing--Kacang goreng--Kecap bangau--Tomat--Bawang putih--Bawang merah--Lombok hijau--Gula merah--Garam--Mentega--
Sate Kambing (#Bumbu Manis),gram daging kambing--Bumbu manis--Siung bawang merah--siung bawang putih--ketumbar--Sejumput jinten--gula jawa--mata asem jawa--sesuai selera Garam--kecap manis--olive oil--
Nasi kebuli kambing,liter beras cap mangkok--santan kental--susu cair--bawang bombay uk besar--daging kambing--bubuk kayu manis--bubuk kapulaga--bubuk jinten--pala bubuk--mentega--
Frikase kambing dgn daun pulowaras/ pulosari makan khas yunani,paha kaki kambing--buah lemon--buah selada--secukupnya Garam--Merica--secukupnya Air--batang Daun bawang--Daun pulosari/ pulowaras--Minyak sayur--
Sate kambing,daging kambing--Bumbu halus--buah bawang putih--Secukupnya Ketumbar--secukupnya garam--Secukupnya Asam jawa--Secukupnya Gula jawa--Bumbu pelengkap--Kecap manis--Merica bubuk--Tomat--Kubis/kol--Cabai rawit merah--Bawang merah--Bahan olesan sate--Kecap manis dan margarin--
Tengkleng kambing,"daging kambing n campuran tulang--2,liter santan encer--lembar daun salam--lembar daun jeruk purut--jahe dimemarkan--batang serai memarkan--kecap manis--Bumbu yang dihaluskan:--bawang merah--bawang putih--kunyit bakar--lengkuas--kemiri--ketumbar disangrai--gula jawa--garam--mottto--secukupnya Kaldu bubuk--"
Gulai kambing,liter air--daging kambing--lembar daun jeruk--batang serai dimemarkan--lembar daun kunyit--lembar daun salam--liter santan--butir asam kandis--minyak buat menumis--kecap manis untuk penyajiannya--secukupnya Bawang goreng untuk penyajian--Bumbu yang dihaluskan :--jahe--butir bawang putih--bawang merah--garam--cabe keriting--kunyit--butir kemiri--ketumbar--butir cengkeh disangrai--butir pekak disangrai--butir kapulaga disangrai--kayu manis disangrai--gula--
Asem-asem Iga Kambing,Iga Kambing--Jerohan Kambing--Minyak Goreng--Liter Air Putih--Buah Tomat Merah (Iris)--Buah Tomat Hijau (Iris)--Bumbu Iris ::--Siung Bawang Putih--Siung Bawang Merah--Cabe Merah Keriting--Cabe Hijau Keriting--Cabe Rawit (Opsional)--Asem Jawa Tanpa Biji (Opsional)--Lengkuas (Dimemarkan)--Lembar Daun Salam--Lembar Daun Jeruk Purut--Bumbu Pelengkap ::--Kecap Manis (Opsional)--Kaldu Bubuk--Lada Bubuk--Secukupnya Garam--Secukupnya Penyedap Rasa--Secukupnya Gula Pasir--
Marak (Sop Kambing Khas Timur Tengah),daging kambing + tulang--kentang (potong jadi 8=16)--wortel (potong miring)--btg daun bawang (iris sedang)--btg daun seledri (iris tipis)--tomat (potong jd 4)--Bumbu rebusan ke-2--bj cengkeh--bj kapulaga--kayu manis--Bumbu Iris---bawang bombay--bawang merah--bawang putih--ruas jempol jahe / boleh digeprek--Bumbu Halus---bawang putih--bawang merah--jintan--lada bubuk--kunyit bubuk / ruas kunyit--ketumbar--kapulaga bubuk (optional)--bumbu gulai instant indofood--Bumbu Rempah---bj cengkeh--bj kapulaga--kayu manis--Lainnya--olive oil / minyak sayur untuk menumis--secukupnya Garam--Secukupnya gula pasir--Air untuk merebus daging--
Nasi kambing (nasi Arab),"beras basmati, beras India atau Arab--gram daging kambing usahakan yg masih pake tulang--Jangan dicuci ya daging nya--ghee India / minyak samin--buah bawang bombai iris--Kayu manis batang sampai cm--kapulaga--biji pala memarkan--cengkeh--daun salam--Air untuk matengin beras--santan atau bisa juga susu--Bumbu halus--bawang merah--bawang putih--jahe--1.Ketumbar sangrai--Merica bubuk--Gula--Garam--"
Gulai kambing kuah susu,daging kambing--liter air--susu putih cair full cream(plain)--Bumbu yang dihaluskan :--siung bawang merah--siung bawang putih--ketumbar--merica--jumput Jinten--butir kapolaga--Sepotong jahe--Sepotong lengkuas--Sepotong kunyit--Biji pala sesuai selera--lembar daun jeruk--lembar daun salam--batang sereh digeprek--lembar daun kunyit--sesuai selera Cabe merah--secukupnya Garam--
Sate kambing,daging kambing--tusuk sate--siung bawang putih--ketumbar disangrai--siung bawang merah--merica bubuk--Sambal kecap--cabe rawit iris tipis--bawang merah iris tipis--kol iris tipis--buah tomat--kecap lele--kecap asin--
Sambal Goreng Daging Kambing Tahu,"daging kambing--potong tahu ukuran besar, potong kotak"" kecil--lembar daun jeruk--lembar daun salam--laos, geprek / parut--jahe, geprek / parut--asam jawa, larutkan--gula merah--Secukupnya garam--Minyak goreng--Bumbu yang dihaluskan :--siung bawang merah--siung bawang putih--ons lombok merah--"
Iga Kambing Cardamom,iga kambing--lembar daun salam--batang serai--batang daun bawang--biji cardamom(kapulaga)--biji cengkeh--Sepotek kayu manis--bumbu halus--butir kemiri--buah bawang merah--siung bawang putih--buah cabe merah besar--ruas kunyit--ruas jahe--ruas laos--
Rendang bumbu kuning pedas (daging kambing),daging kambing--siung Bawang merah--siung Bawang putih--Cabe merah (me;3)--Cabe rawit (me;2)--ruas jari kunyit--bungkus santan kara--Jahe--Lengkuas--Daun salam--Dau jeruk--Sereh--Kemiri--Ketumbar--Lada bubuk--Garam--Gula--Kaldu bubuk--
Semur kambing,daging kambing yg bertulang--ruas jahe--ruas lengkuas--Sedikit kunyit--Sepotek cabe merah--siung bawang merah--siung bawang putih--kemiri--lada--bawang bombai--biji pala--cengkeh--Secukupnya garam--Secukupnya kecap manis--Secukupnya minyak untuk menumis--
Sop Iga Kambing,"Bahan :--Iga Kambing (aku campur sama dagingnya), potong2--secukupnya Garam--lembar Daun Jambu Biji--Air Cuka--batang Daun Bawang, iris tipis cm--buah Tomat, potong dadu--Kayu Manis--butir Cengkeh--ruas Jahe, geprek--Secukupnya Penyedap Rasa--Secukupnya Gula--Sedikit Minyak Goreng untuk menumis bumbu halus--siung Bawang Merah--siung Bawang Putih--buah Cabai Merah (tergantung selera suka pedes atau ga)--Merica (optional)--Pelengkap :--batang Seledri, Iris Halus--Bawang Goreng--Jeruk Nipis, Kecap, Sambal Cabe--"
Tongseng kambing dadakaan :D,daging kambing--buah tomat ukuran sedang--lonjor daun bawang--potong kubis--sct santan kara--sendok makan kecap manis--air--Minyak goreng--bungkus lada bubuk--bungkus ketumbar--ruas jari jahe--ruas jari lengkuas--ruas jari kunyit--siung bawang merah--siung bawang putih--butir kemiri--batang serai geprek dan--lembar daun salam--buah cabai besar--Garam--Gula--Penyedap rasa--
