Title,Ingredients
Ayam Goreng Pemalas,ayam bks bumbu ayam goreng sajiku secukupnya lengkuas parut makan minyak goreng secukupnya air matang 
Nuttget ayam sayur,butir telur Ayam wortel tepung trigu tapioka bawang putih bawang merah daun bawang seledri Lada Tepung panir Royko (sesuai selera) 
ayam Hainan Nasi Hainan,"pcs Paha Ayam Utuh (Paha atas dan Paha bawah) siung bawang putih ruas jahe batang sereh lembar daun salam jeruk nipis / lemon siung bawang bombay kecap ikan minyak wijen Sejumput garam Air Matang Kaldu ayam bubuk / block (opsional, saya tidak pake) Cup beras siung bawang putih ruas jahe batang sereh digeprek lembar daun salam minyak wijen Sejumput garam Kuah rebusan bumbu ayam Hainan Margarin siung bawang putih parut kecap manis kecap asin minyak wijen Ketimun Daun bawang Bawang goreng Emping "
Ayam Rica-rica,ekor ayam potong buah cabai merah buah cabai rawit siung bawang putih siung bawang merah buah kemiri sachet merica bubuk sachet ketumbar bubuk secukupnya gula merah secukupnya kecap manis secukupnya garam secukupnya penyedap rasa ruas kunyit ruas jahe ruas besar lengkuas batang serai lembar daun salam lembar daun jeruk secukupnya minyak goreng secukupnya air 
Ayam Goreng,ekor ayam (cuci dan rebus sebentar untuk ngurangin lemaknya) siung bawang putih (geprek) siung bawang merah (geprek) ruas kunyit (geprek) ketumbar bubuk lembar daun salam lembar daun jeruk batang serai (geprek) secukupnya garam 
Ayam Cabe Ijo,ekor ayam broiler potong bagian air jeruk nipis garam minyak goreng utk menumis daun jeruk batang sereh di geprek butir bawang merah siung bawang putih buah cabe hujau besar buah cabe rawit hijau ruas jahe ruas kunyit butir kemiri secukupnya Garam dan gula pasir 
Ayam fillet asam manis,buah dada ayam tanpa tulang tepung terigu tepung maizena putih telur saus tomat saus tiram buah bawang bombay (iris) siung bawang putih (cincang halus) garam gula pasir merica bubuk 
Ayam ukep bumbu,ayam broiler siung bawang putih ukuran besar peres ketumbar Kunyit Garam Gula 
Tongseng Ati Ampela Ayam,potong hati ampela ayam yang masih dibalut usus minyak goreng siung bawang putih siung bawang merah buah cabe rawit buah cabe merah keriting butir kemiri ketumbar bubuk ruas jahe ruas lengkuas geprek lembar daun salam lada garam penyedap kecap manis Sejumput pala bubuk 
Ayam penyet,"ayam potongcuci bersh ktumbar bbuk siung bwg puth siung bwg merah ruas laus lmbr daun salm secukupnya Garam secukupnya Jeruk nipis Bhn sambl ulek secukupnya Cabe merah,cabe rawit buah tomat merah besar Secukupnya terasi bkar Jeruk nipis atau jeruk limau "
brokoli Rice with Grilled ayam,"bonggol Brokoli ukuran sedang / besar Dada Ayam (bumbui dgn garam, lada, rosemary, kecap hitam) buah Jamur King Oyster (sesuai selera) Kentang (rebus terlebih dahulu) Bawang putih cincang (untuk menumis) Garam, lada hitam, gula / vetsin (untuk memperkuat rasa) Rosemary dan thyme kering "
Ayam goreng kremes renyah sambal trasi,kilo ayam (aku pakai ayam broiler bagian dada) potong lembar daun salam batang sereh lembar daun jeruk santan (bungkus santan kemasan air) minyak untuk menggoreng (atau secukupnya) bumbu yang dihaluskan jsiung bawang putih siun bawang meraih ketumbar bubuk merica bubuk buah kemiri ruas jari kunyit gula garam Bahan kremes air rebusan ayam (disaring) tepung sagu (aq sagu tani) tepung beras butir telur utuh baking powder double acting (aq hercules) secukupnya Gula garam Sambal terasi buah cabe merah (bole ditambah) cabe merah siung bawamg putih siung bawang merah buah tomat ukuran sedang Secukupnya terasi Secukupnya Gula garam 
Balado ayam,Fillet ayam biji Bawang bombay Cabe kering Bumbu halus (cabe bawang merah bawang putih kemiri merica garam) secukupnya Gula Bunga kapulaga 
Mie ayam,ayam fillet ceker ayam bila suka Tetelan ayam Kulit ayam Minyak goreng siung bawang putih cincang Mie kuning ikat sawi Daun bawang Daun seledri batang serai geprek daun jeruk daun salam Laos geprek Bawang goreng Kecap manis Kecap asin cabe rawit siung bawang putih siung bawang merah siung bawang putih ruas jari jahe ruas jari kunyit buah kemiri Merica bubuk 
Tim Ayam Bawang,ekor ayam potong sesuai selera (saya potong ) siung bawang merah iris tipis siung bawang putih iris tipis batang daun bawang potong serong buah bawang bombay ukuran sedang ruas jari jahe penyedap rasa ayam secukup nya 
Ayam richeese saus fire keju,Tepung serbaguna sayap ayam Telur ayam kocok lepas saus sambal saus tomat saus barbeque (delmonte) minyak wijen saus tiram siung bawang putih geprek bon cabe kecap manis susu uht full cream secukupnya Keju parut chedar maizena (larutkan dengan air) Margarin 
sop kembang tahu bakso ayam,gram kembang tahu kering buah wortel potong dadu buah ceker ayam buah bakso ayam ltr air secukupnya Garam dan merica secukupnya Daun bawang 
Ayam jamur barbecue,Sayap ayam Jamur campion siung bawang Bombay siung bawang putih sendok makan saus kikoman sendok makan saus tiram sendok makan saus barbecue sendok makan kecap manis Sejumput merica dan garam Minyak untuk menggoreng 
Ayam bumbu kuning,sayap ayam potong kelapa parut siung bawang merah siung bawang putih kunyit bubuk / kunyit secukupnya garam secukupnya merica biji pala bubuk minyak goreng batang sereh (memarkan) lembar salam lengkuas (digeprek) 
"Semur Ati Ayam, Telur Puyuh, Tahu","buah ati ayam, cuci bersih Butir telur puyuh, rebus lalu kupas buah tahu, potong melintang lalu goreng (jangan terlalu kering) buah tomat, potong-potong buah sereh, ambil putihnya, geprek buah daun salam lengkuas geprek minyak goreng secukupnya Kecap manis secukupnya gula merah, garam, lada secukupnya air siung bawang merah siung bawang putih jahe kunyit butir kemiri buah cabai keriting "
Soto Ayam Kampung,ayam kampung batang serai geprek daun jeruk Daun seledri Daun bawang Bawang goreng Jeruk nipis siung bawang merah siung bawang putih ruas jari kunyit ruas jari jahe sedikit Laos secukupnya Merica bubuk Bahan pelengkap Bihun atau soun Gubis Kecambah 
Mie ayam,Ayam (saya pakai separuh dada ayam) bungkus mie telur Secukupnya pokcoy Secukupnya daun bawang lembar daun salam Secukupnya air Secukupnya gula Secukupnya garam Secukupnya kecap Penyedap rasa (optional) siung bawang putih siung bawang putih (geprek) siung bawang merah ketumbar butir kemiri ruas kunyit Lada bubuk 
Steak ayam saus lada Hitam,"filetan dada ayam lada hitam royco ayam bubuk bawang putih gram tepung lada royco bawang putih butir telur (bisa di skip) Minyak untuk menggoreng Wijen sangrai untuk hiasan Wortel, kentang, buncis untuk lalapan saus tiram buah bawang bombay siung bawang putuh royco gulpas lada hitam bubuk Larutan meizena gelas kecil air "
Ayam saus nanas pedas manis,dada ayam filet tepung maizena Kecap asin saus pedas minyak wijen kecap manis saus tiram secukupnya Lada bubuk Bawang putih bawang bombay potong kotak paprika potong kotak (sy pakai cabe merah) Bbrp potong nanas secukupnya Gula dan garam 
Ayam Santan Ngamuk,"Ayam,potong sesuai selera siung Bawang putih siung Bawang merah ons Cabe merah secukupnya Gula merah sendok Kecap manis lembar Daun jeruk Kemiri butir,goreng Jeruk limau bungkus Lada bubuk secukupnya Santan kental sendok Gula pasir secukupnya Garam secukupnya Air "
Ayam asam manis,"iris ayam (potong kecilsesuai selera) Secukupnya tepung serbaguna biji telur buah cabe merah besar (buang biji, iris memanjang) buah bawang bombay siung bawang putih Secukupnya wortel (iris memanjang) Secukupnya kacang polong saus tomat saus sambal Secukupnya tepung maizena (dilarutkan) "
Ayam bumbu Betutu,ekor ayam kampung bawang merah bawang putih ruas lengkuas cabe rawit merah cabe merah kemiri Kunyit (secukupnya) ketumbar terasi abc Sereh daun jaruk daun salam 
siomay ayam,"ayam, blender udang cincang kasar btr telur btr bawang putih, blender bersama ayam wortel parut, sisihkan sedikit u/ taburan btg daun bawang saus tiram minyak wijen Garam Merica Kulit siomay "
Ayam Kecap Manis Cabai,"ayam siung bw putih, geprek cincang cabe merah besar, iris serong merica bubuk kecap manis Secukupnya garam minyak sayur Secukupnya daun bawang, utk taburan "
Ayam Pedas Kemangi,ayam ikat daun kemangi batang serai (geprak) lembar daun salam lembar daun jeruk ruas jari laos (geprak) Jeruk nipis Gula Garam Merica bubuk Kaldu ayam siung bawang putih siung bawang merah cabe merah besar cabe rawit atau sesuai selera butir kemiri Sejumput kecil ketumbar ruas jari jahe ruas jari kunyit 
sop Ayam Segarrrrr,"Dada Ayam Cuci Bersih n Iris Kotak (Dadu) Secukupnya Air Secukupnya Garam Halus Secukupnya Gula Pasir Secukupnya Merica Butir Secukupnya Daun Bawang, Cuci Bersih n Iris Sesuai Selera Seledri Secukupnya, Cuci Bersih n Iris Sesuai Selera Batang Serai,Cuci Bersih n Geprek Lembar Daun Salam, Cuci Bersih Lembar Daun Jeruk,Cuci Bersih Ruas Jahe, Kupas,Cuci Bersih n Geprek Siung Bawang Merah Kupas n Cuci Bersih Siung Bawang Putih Kupas n Cuci Bersih Grm Wortel Kupas, Cuci Bersih n Iris Sesuai Selera Grm Kembang Kol,Petik Dr Kuntumnya n Cuci Bersih Grm Kentang Kupas n Cuci Bersih n Iris Sesuai Selera Grm Buncis, Bersihkan Bagian Pinggirnya n Cuci Bersih "
Steak ayam panir keju,"buah dada ayam filet. Iris menjadi bagian secukupnya Tepung terigu butir telur. Kocok lepas cabe bubuk secukupnya Tepung panir keju parut (blh di skip) secukupnya Susu cair secukupnya Garam secukupnya Merica siung bawang putih, haluskan "
Grilled ayam breast,"potong dada ayam fillet Secukupnya bawang bombay iris memanjang Secukupnya paprika merah iris memanjang siung bwg putih cincang Secukupnya keju melted garam, Secukupnya lada Minyak sayur / olive selada tomat kecil "
Sambal ayam penyet,Ayam goreng (resep ungkepnya ada di resep ku yg lain ya) Daun singkong (klop banget sm lalapan rebusan daun singkong loh) Cabe orens bawang putih Minyak panas Royco (rasa sapi) Garam Gula pasir (yg ga pengen terlalu pedas boleh pake gula dikit) 
Ayam Geprek,Ayam potong menjadi Bumbu ayam ungkep (haluskan)siung bawang putih ketumbar Kunyit sedikit (optional) asam jawa secukupnya Garam jika suka Penyedap lembar daun jeruk purut buah cabe rawit buah cabe keriting (kalau ada) siung bawang putih siung bawang merah secukupnya Garam Sedikit minyak 
ayam Pop Bumbu sambal Bawang Tumis,Dada Ayam Jeruk nipis bks Tepung serbaguna Siung bawang merah Siung bawang putih biji cabe rawit (sesuai selera) biji cabe keriting buah tomat Lain-Minyak goreng Garam Mecin Gula Terasi 
Ayam Ukep Bumbu Bebek,"ayam segar bersih siung bawang merah (a) siung bawang putih (a) ketumbar (a) ruas kunir (cm) (a) jahe hanya supaya ayam tdk amis (a) btg sereh (digeprek) daun jeruk Lengkuas diparut,jmlh sesuai selera (saya skip krn gaada parutan) Garam "
Soto ayam,ayam kampung jeroan ayam kentang telur ayam bwg merah buat taburan bwg putih buat taburan toge kecil Seledri Jeruk nipis bwg merah bwg putih Lengkuas Kunyit Kemiri Jahe Serai Daun jeruk 
Ayam Goreng Tepung,"potong paha ayam siung bawang putih, dihaluskan secukupnya Garam secukupnya Lada Kaldu bubuk (optional, klo bisa yg ya soalnya buat anak) btr telur Tepung terigu tepung maizena Garam secukupnya (diresep aslinya gak pake garam) "
Soto ayam,ayam bawang merah bawang putih Kunyit seruas jari seruas Lengkuas seruas Jahe Gula Garam Kaldu ayam Lada sedikit Ketumbar Sereh geprek daun salam Kol iris tipis iris Daun sop Tauge Bawang goreng 
Ayam Dan Tempe Goreng Serundeng,dada ayam kelapa parut tempe (potong agak tebal) siung bawang putih (dihaluskan) ruas jari kunyit (dihaluskan) secukupnya Garam secukupnya Penyedap royco lembar daun salam batang sereh secukupnya Air masak 
Ayam Goreng,ekor ayam negeri (potong ) tepung terigu (segitiga biru) tepung maizena siung bawang putih halus (bisa juga garlic powder) Baking powder Garam Lada putih bubuk Lada hitam dihaluskan Ketumbar bubuk Kaldu bubuk Cabe bubuk butir telur ayam sachet dancow putih cuka dapur/jeruk nipis/lemon air hangat 
Opor ayam kuah Susu,"ekor ayam siung bwg merah siung bawang putih buah cabe merah buah cabe rawit merah utuh buah kemiri ruas kunyit ruas jahe lembar daun salam Ketumbar bubuk Jintan secukupnya Lada bubuk Garam, gula Pasir,kaldu bubuk rasa ayam secukupnya. Susu Cair (saya pakai ultra low fat) Secukupnya air mateng "
Ayam crispy Sambal Matah,"buah paha atas ayam sachet tepung bumbu merek apa saja ukuran sedang butir telur ayam buah jeruk nipis secukupnya Garam, merica, penyedap buah bawang merah buah cabe rawit (atau sesuai selera) terasi minyak goreng buah jeruk nipis secukupnya Garam, gula, penyedap "
